iter	RMSE
0	0.9542055045
1	0.9247823743
2	0.8941721643
3	0.8647036626
4	0.8380311173
5	0.8161515187
6	0.7938930965
7	0.774107848
8	0.7528189032
9	0.7300254545
10	0.7099424673
11	0.6950511958
12	0.6800559525
13	0.6606391387
14	0.6466525919
15	0.6334628901
16	0.6174208813
17	0.6041781592
18	0.5900491805
19	0.5792871995
20	0.5690074866
21	0.5578351374
22	0.5490181428
23	0.5381843197
24	0.5292750902
25	0.5181393891
26	0.5084396683
27	0.4970703444
28	0.4892468412
29	0.4815752431
30	0.4722994571
31	0.4650294498
32	0.4585506116
33	0.4526984066
34	0.444606826
35	0.4357887158
36	0.429127958
37	0.4229945011
38	0.417837129
39	0.4117249772
40	0.4054140276
41	0.3979581937
42	0.3923399664
43	0.3877577529
44	0.3811441301
45	0.3764352938
46	0.3716412537
47	0.3669121616
48	0.361819618
49	0.3564361061
50	0.3510808641
51	0.346846873
52	0.3424384644
53	0.3380260364
54	0.3333715619
55	0.3281623423
56	0.3236687892
57	0.3193573663
58	0.315734998
59	0.3127884947
60	0.3100338107
61	0.3059996319
62	0.3025564554
63	0.2983432379
64	0.2949899055
65	0.2917696628
66	0.2881417813
67	0.2848836246
68	0.2829245136
69	0.2806402566
70	0.2781614248
71	0.2750818659
72	0.2722967128
73	0.2695518197
74	0.2671637765
75	0.264520035
76	0.2618575185
77	0.2591895172
78	0.2565979731
79	0.2545200212
80	0.2524271231
81	0.2504212649
82	0.2483310561
83	0.2462306024
84	0.2440982458
85	0.2423454856
86	0.2403377753
87	0.2384283249
88	0.2372557301
89	0.2346857088
90	0.2322236605
91	0.2308710289
92	0.228715317
93	0.2271657697
94	0.225822279
95	0.2238196473
96	0.2222548446
97	0.2209437273
98	0.2192019724
99	0.2178046168
