iter	Passed	Remaining
0	1	193
1	4	220
2	6	208
3	9	216
4	11	209
5	13	205
6	15	200
7	17	195
8	19	192
9	21	190
10	22	185
11	24	182
12	26	178
13	28	175
14	30	172
15	32	170
16	34	167
17	36	165
18	38	164
19	40	161
20	42	159
21	44	156
22	46	154
23	47	151
24	49	149
25	51	147
26	53	145
27	55	142
28	57	140
29	59	138
30	61	136
31	63	134
32	64	131
33	66	129
34	68	128
35	70	125
36	72	123
37	74	121
38	76	119
39	78	117
40	80	115
41	82	113
42	84	111
43	85	109
44	87	107
45	89	105
46	91	103
47	93	101
48	95	99
49	97	97
50	99	95
51	101	93
52	102	91
53	104	89
54	106	87
55	109	85
56	111	83
57	112	81
58	114	79
59	116	77
60	118	75
61	120	73
62	122	71
63	124	69
64	126	68
65	128	66
66	130	64
67	132	62
68	134	60
69	137	58
70	139	56
71	141	55
72	143	52
73	145	50
74	147	49
75	148	46
76	151	45
77	153	43
78	155	41
79	156	39
80	158	37
81	160	35
82	162	33
83	164	31
84	166	29
85	168	27
86	170	25
87	172	23
88	174	21
89	176	19
90	178	17
91	180	15
92	181	13
93	183	11
94	185	9
95	187	7
96	189	5
97	191	3
98	193	1
99	195	0
